Parameters vs. Time
Time (min.)	AlignX	AlignY	Temperature(C)	Intensity
12.920484	-0.058430	16.059097	234.173965	1.339495	
12.974317	0.045687	15.800689	235.065674	1.351745	
13.028250	0.037511	16.125526	235.854248	1.331731	
13.082150	0.089648	15.849433	236.645355	1.348673	
13.136184	0.188521	15.942834	237.655060	1.342293	
13.190184	0.274184	16.169714	238.534760	1.331211	
13.244184	0.259284	16.033325	239.421692	1.338806	
13.298183	0.321130	16.355928	240.300064	1.324491	
13.352183	0.442320	16.112339	241.167542	1.333498	
13.406183	0.440441	16.200169	242.009277	1.330617	
13.460217	0.553481	16.239603	242.972565	1.329723	
13.514216	0.576217	16.213047	243.755203	1.333919	
13.568017	0.457260	16.034449	244.671173	1.336444	
13.621817	0.611773	16.088840	245.598160	1.335060	
13.675683	0.712971	16.470137	246.505386	1.319468	
13.729650	0.624812	16.341640	247.295502	1.320357	
13.783650	0.692716	16.160143	248.163788	1.332030	
13.837584	0.885651	16.187643	249.034851	1.330066	
13.891617	0.776367	16.385221	249.942902	1.319722	
13.945617	0.954076	16.299335	250.825378	1.328170	
13.999450	0.952094	16.369312	251.718018	1.317911	
14.053250	1.039332	16.421661	252.575623	1.315475	
14.107183	1.034832	16.408117	253.474228	1.317875	
14.161183	0.929246	16.503620	254.372467	1.313696	
14.215217	1.095439	16.574707	255.255219	1.306859	
14.269217	1.145512	16.623909	256.171661	1.307619	
14.323250	1.170032	16.624613	257.099030	1.306404	
14.377216	1.166202	16.366508	257.934082	1.319112	
14.431250	1.241902	16.682014	258.874268	1.305551	
14.485250	1.327563	16.722872	259.678223	1.297759	
14.539284	1.343065	16.251598	260.575043	1.326918	
14.593317	1.350499	16.444395	261.402008	1.315147	
14.647284	1.469491	16.445204	262.355438	1.315035	
14.701250	1.448423	16.605680	263.255890	1.310440	
14.755283	1.476954	16.675869	264.070770	1.306650	
14.809283	1.592734	16.533089	265.032684	1.310722	
14.863317	1.613777	16.805723	265.867554	1.297794	
14.917383	1.509987	16.667503	266.678528	1.304354	
14.971383	1.770513	16.754385	267.620636	1.297967	
15.025383	1.619516	16.633055	268.541534	1.308104	
15.079383	1.649371	16.855341	269.396606	1.290274	
15.133417	1.948966	16.805063	270.304596	1.292125	
15.187450	1.817417	16.872322	271.105957	1.288115	
15.241450	1.883303	17.053064	272.071777	1.281130	
15.295450	1.905853	17.095924	272.961182	1.279388	
15.349483	1.904952	16.893641	273.815826	1.293537	
15.491217	1.976220	16.918077	276.075897	1.286727	
15.545217	2.085079	16.919107	277.016022	1.288838	
15.599216	1.992870	16.795702	277.841644	1.292874	
15.653216	2.100786	16.812096	278.729858	1.293084	
15.707216	2.224603	16.678085	279.656097	1.299139	
15.761250	2.329418	16.945526	280.586456	1.284374	
15.815250	2.344846	17.172314	281.399353	1.271825	
15.869250	2.262830	17.082632	282.282928	1.275174	
15.923284	2.375816	16.745184	283.132782	1.291843	
15.977283	2.238517	16.967533	283.926208	1.288789	
16.031317	2.441283	17.121283	284.963715	1.275704	
16.085318	2.437452	17.302048	285.761505	1.259144	
16.139151	2.399413	16.961191	286.628143	1.284594	
16.192984	2.428622	16.895065	287.518524	1.286156	
16.246784	2.436590	16.868353	288.315308	1.294382	
16.300684	2.427703	16.775827	289.144806	1.292673	
16.354683	2.582687	16.711924	290.021149	1.296589	
16.408684	2.539521	17.003687	290.946228	1.280941	
16.462717	2.530146	16.989437	291.882355	1.283024	
16.516716	2.716225	17.043310	292.648621	1.275238	
16.570717	2.649482	16.832758	293.641815	1.292875	
16.624550	2.778145	16.817764	294.581299	1.292002	
16.678383	2.801936	16.851904	295.350159	1.290551	
16.732349	2.821033	17.078693	296.289520	1.278799	
16.786316	2.715423	17.134254	297.185120	1.280271	
16.840317	2.874487	17.097704	298.066467	1.275934	
16.894316	2.864587	17.296721	299.033478	1.260589	
16.948317	2.809102	16.872257	299.841034	1.292543	
17.002350	2.964172	17.078905	300.732208	1.275016	
17.056351	2.913525	17.200253	301.714020	1.269551	
17.110350	3.064581	16.984465	302.572327	1.283330	
17.164351	3.037550	17.127800	303.399689	1.270175	
17.218384	3.192064	17.446833	304.331818	1.248482	
17.272383	3.135660	17.550293	305.280029	1.245750	
17.326384	3.108131	16.979525	306.064606	1.284352	
17.380417	3.170805	17.169401	306.947235	1.268259	
17.434416	3.136861	16.976086	307.816742	1.280715	
17.488417	3.236280	17.277111	308.689575	1.261042	
17.542450	3.201715	17.052513	309.503021	1.277510	
17.596451	3.245543	17.313194	310.361389	1.265341	
17.650450	3.119368	17.235989	311.296234	1.267280	
17.704250	3.422020	17.332912	312.322968	1.258011	
17.758083	3.391004	17.388969	313.081451	1.250402	
17.811916	3.376957	17.220884	314.015747	1.265727	
17.865917	3.221671	17.313396	314.816498	1.265288	
17.919884	3.275571	17.111393	315.753937	1.273753	
17.973883	3.463263	17.325518	316.644196	1.259972	
18.027884	3.363682	17.396471	317.555756	1.254358	
18.081917	3.477622	17.175268	318.432648	1.270492	
18.135916	3.468746	17.352728	319.164001	1.264575	
18.189884	3.395813	17.073868	320.083588	1.278898	
18.243883	3.690115	17.302063	320.953400	1.261419	
18.297884	3.629566	17.067244	321.899719	1.278408	
18.351883	3.521318	17.247652	322.785248	1.267834	
18.405884	3.782709	17.333712	323.551544	1.253426	
18.459883	3.590083	17.491936	324.363190	1.255932	
18.513916	3.681651	17.346874	325.411163	1.260046	
18.567917	3.632678	17.226856	326.256470	1.270010	
18.621950	3.781636	17.439209	327.090057	1.256928	
18.675949	3.722869	17.280672	327.990540	1.263605	
18.729950	3.867484	17.311060	328.908966	1.260039	
18.784082	3.726184	17.402176	329.797058	1.256920	
18.838118	3.680245	17.466251	330.739685	1.251372	
18.892117	3.743178	17.507275	331.637726	1.246288	
18.946117	3.919690	17.546120	332.453156	1.244251	
19.000116	3.846280	17.583307	333.369476	1.247456	
19.054150	3.761989	17.303089	334.331207	1.262985	
19.108150	3.927450	17.579298	335.225769	1.248826	
19.161983	4.056597	17.505445	336.061188	1.250761	
19.215784	3.862697	17.514984	336.918243	1.251534	
19.269783	3.934746	17.732084	337.825958	1.238413	
19.323683	4.173639	17.689985	338.734741	1.230769	
19.377716	4.201182	17.908476	339.635803	1.215597	
19.431717	4.244445	17.936722	340.540405	1.213465	
19.485750	4.096334	17.994276	341.373383	1.219582	
19.539551	4.219517	18.165699	342.355621	1.207681	
19.593384	3.744101	18.995043	343.193726	1.170028	
19.647182	3.937559	19.187777	344.099518	1.157442	
19.701183	3.969531	19.324915	344.957672	1.142540	
19.755184	3.879212	19.167175	345.807495	1.160270	
19.808983	3.918942	19.122633	346.664703	1.158613	
19.862816	3.958258	19.269135	347.508148	1.150653	
19.916683	4.243443	19.581652	348.400146	1.129168	
19.970684	4.094261	19.488758	349.255768	1.134885	
20.024750	4.078578	19.582443	350.181488	1.130858	
20.078783	3.943209	19.822302	351.130096	1.117333	
20.132784	4.187184	19.547369	351.926025	1.133907	
20.186817	4.197970	19.522541	352.853577	1.134052	
20.240816	4.262814	19.989038	353.694519	1.108309	
20.294817	4.265330	19.717804	354.588074	1.124630	
20.348850	4.069400	19.555155	355.393219	1.136623	
20.402884	4.391725	19.763397	356.253967	1.112957	
20.456917	4.237758	19.773859	357.150177	1.122729	
20.598883	4.305915	19.938688	359.431976	1.111171	
20.652916	4.242021	19.955252	360.322357	1.111256	
20.706949	4.301490	20.150599	361.245544	1.099445	
20.760983	4.402442	20.010199	362.146515	1.111806	
20.814983	4.326285	20.076796	363.010101	1.096290	
20.869017	4.271752	20.015720	363.895264	1.108196	
20.922983	4.544994	19.962404	364.789856	1.104821	
20.977016	4.365907	19.897284	365.613403	1.115932	
21.031084	4.474287	20.292942	366.510010	1.084774	
21.085117	4.555037	20.493326	367.512146	1.073989	
21.139151	4.601783	20.160826	368.287537	1.088837	
21.193150	4.654227	20.197062	369.266296	1.086308	
21.247183	4.665664	20.332100	370.152954	1.078334	
21.301216	4.497600	20.562189	371.094025	1.071887	
21.355249	4.632573	20.622068	371.907898	1.066202	
21.409250	4.799747	21.041361	372.776398	1.040469	
21.463249	4.843987	20.679796	373.665680	1.061998	
21.517282	4.429876	20.487425	374.528961	1.075096	
21.571283	4.637457	20.603333	375.521149	1.065077	
21.625317	4.831867	20.860111	376.304565	1.054259	
21.679283	4.899418	20.574356	377.240723	1.070159	
21.733316	4.942866	20.221159	378.245728	1.093705	
21.787317	4.852905	20.843313	379.119507	1.056448	
21.841351	4.999206	20.909090	379.952484	1.044942	
21.895184	4.666445	20.398218	380.731262	1.082792	
21.948984	5.064871	20.741556	381.623962	1.055477	
22.002783	4.976849	20.736555	382.430450	1.056401	
22.056717	4.778419	20.887527	383.395172	1.048664	
22.110716	4.901366	20.784275	384.246674	1.054610	
22.164783	5.180915	20.752285	385.153137	1.054293	
22.218584	5.308736	20.159586	385.969513	1.083584	
22.272417	5.078026	20.543861	386.844757	1.066416	
22.326349	5.196894	20.386358	387.718689	1.073734	
22.380350	5.231913	21.036177	388.651367	1.035392	
22.434284	5.051039	21.156645	389.529510	1.030231	
22.488283	5.393879	20.831661	390.375061	1.046566	
22.542284	5.310481	21.070004	391.257568	1.032990	
22.596283	5.196959	21.066744	392.062378	1.038535	
22.650316	5.186247	21.099951	392.972870	1.042067	
22.704350	5.211251	21.183783	393.976349	1.028350	
22.758383	5.464162	21.247240	394.862518	1.024057	
22.812384	5.505934	21.534691	395.759674	1.007765	
22.866350	5.592341	21.310265	396.610352	1.027075	
22.920383	5.831280	21.197418	397.341888	1.024626	
22.974382	5.780269	21.154255	398.261963	1.026370	
23.028418	5.589468	20.709049	399.188019	1.050745	
23.082417	5.547506	20.745274	399.882080	1.051221	
23.136417	5.885882	21.224064	400.113129	1.023686	
23.190416	5.671453	20.894501	400.213928	1.043541	
23.244450	5.601896	21.272150	400.207367	1.021444	
23.298450	5.636611	21.630896	400.279846	1.002053	
23.352484	5.585415	21.258528	400.257050	1.025361	
23.406450	5.454463	21.364689	400.201080	1.016379	
23.460516	5.547276	21.491034	400.184021	1.010017	
23.514517	5.566105	21.128267	400.206207	1.027813	
23.568550	5.527992	21.419542	400.291260	1.015349	
23.622549	5.649160	20.770796	400.188416	1.051296	
23.676550	5.481134	20.822264	400.097473	1.046786	
23.730551	5.486617	20.693483	400.096619	1.051688	
23.784550	5.725712	20.948450	400.235687	1.040585	
23.838583	5.469495	21.444210	400.069031	1.015291	
23.892584	5.399171	21.520573	399.980377	1.006328	
23.946383	5.465853	21.357689	399.952484	1.015964	
24.000250	5.507612	21.399090	400.060120	1.015472	
24.054050	5.484392	21.493914	400.094421	1.010619	
24.108049	5.516629	21.368717	400.049927	1.018748	
24.162083	5.547843	21.374315	400.130249	1.018483	
24.216116	5.520046	21.656668	400.115387	0.999647	
24.270117	5.479924	21.524954	400.097473	1.009590	
24.324116	5.563963	21.509459	399.998047	1.011702	
24.378117	5.497402	21.482731	400.025299	1.009717	
24.432117	5.650992	21.544744	400.053101	1.001281	
24.486116	5.449736	21.111698	400.130157	1.035478	
24.540117	5.492041	21.158142	400.151459	1.034681	
24.594116	5.499203	21.486057	400.052551	1.011188	
24.648117	5.504198	21.624029	399.984863	0.999126	
24.702150	5.385774	21.313892	399.961853	1.020606	
24.756149	5.564919	21.210930	399.823669	1.026972	
24.810150	5.669089	21.013178	400.064514	1.038816	
24.864149	5.552506	21.538038	399.962372	1.005735	
24.918150	5.515781	21.443750	400.093353	1.012504	
24.972183	5.665873	21.329302	400.148773	1.018452	
