Dynamic Data
Time (min.)	AlignX	AlignY	Temperature(C)
12.793683	3.046743	4.378870	404.229370	
12.807550	3.024762	4.418384	404.643860	
12.821283	3.047162	4.433465	405.066559	
12.834950	3.063636	4.436372	405.469849	
12.848817	3.074988	4.488419	405.880127	
12.862483	3.068342	4.504557	406.328217	
12.876217	3.049135	4.531417	406.708252	
12.890083	3.120939	4.511089	407.112915	
12.904016	3.144829	4.564857	407.575226	
12.917684	3.137376	4.560178	407.967316	
12.931417	3.071661	4.576665	408.366791	
12.945283	3.134415	4.609222	408.768890	
12.958950	3.144801	4.553095	409.185577	
12.972683	3.170690	4.597087	409.580139	
12.986550	3.159534	4.613355	410.001434	
13.000484	3.164555	4.599991	410.444946	
13.014350	3.168359	4.612285	410.844177	
13.028017	3.215481	4.612815	411.266724	
13.041750	3.219627	4.623871	411.665497	
13.055616	3.230225	4.619448	412.117950	
13.069616	3.250822	4.669382	412.518372	
13.083283	3.306411	4.680543	412.911926	
13.097150	3.284930	4.649384	413.351624	
13.111016	3.323170	4.726259	413.753235	
13.124884	3.318225	4.685009	414.199219	
13.138817	3.375073	4.697603	414.570526	
13.152483	3.367972	4.685609	414.988251	
13.166217	3.413991	4.701348	415.388672	
13.180083	3.451506	4.717478	415.807495	
13.193817	3.426724	4.733861	416.238190	
13.207617	3.477385	4.816585	416.637665	
13.221483	3.467785	4.750806	417.084198	
13.235350	3.479129	4.844369	417.496979	
13.249084	3.557563	4.849993	417.879944	
13.262750	3.656198	4.839686	418.284393	
13.276617	3.612706	4.823953	418.684082	
13.290350	3.592061	4.871326	419.166656	
13.304150	3.634222	4.867049	419.589539	
13.318017	3.691713	4.867882	419.990723	
13.331883	3.740316	4.891603	420.363647	
13.345550	2.918647	4.788328	420.761139	
13.359283	0.091434	4.848547	421.273712	
13.373150	-0.159875	4.792205	421.617401	
13.386817	-0.524980	4.851432	422.020355	
13.400617	-0.558452	4.858753	422.429932	
13.414483	-0.501812	4.877591	422.829681	
13.428416	-0.531633	4.911037	423.280853	
13.442083	-0.461107	4.874249	423.685974	
13.455750	-0.452182	4.868249	424.091461	
13.469617	-0.445505	4.934815	424.482178	
13.483350	-0.426832	1.934157	424.877502	
13.497017	-0.514244	1.681067	425.312653	
13.510883	-0.472941	0.893027	425.764374	
13.524750	-0.469816	0.693063	426.119385	
13.538484	-0.450250	-0.219606	426.566132	
13.552150	-0.452762	-0.405734	426.962830	
13.566016	-0.419163	-0.294158	427.353455	
13.579683	-0.430956	-0.302067	427.780365	
13.593616	-0.383184	-0.262964	428.206085	
13.607483	-0.390046	-0.217251	428.618622	
13.621150	-0.401413	-0.202757	429.031586	
